Time,john,thomas,vaidy
00:00:00, 50, 37, 70
00:00:01, 50, 34, 64
00:00:02, 56, 30, 66
00:00:03, 51, 16, 57
00:00:04, 54, 37, 57
00:00:05, 56, 30, 48
00:00:06, 47, 48, 44
00:00:07, 57, 48, 24
00:00:08, 61, 51, 7
00:00:09, 64, 53, 1
00:00:10, 60, 43, 1
00:00:11, 63, 37, 13
00:00:12, 66, 37, 13
00:00:13, 70, 37, 23
00:00:14, 77, 26, 4
00:00:15, 67, 30, 10
00:00:16, 63, 41, 4
00:00:17, 54, 48, 17
00:00:18, 51, 43, 53
00:00:19, 56, 44, 47
00:00:20, 60, 23, 74
00:00:21, 66, 27, 63
00:00:22, 75, 30, 57
00:00:23, 70, 35, 53
00:00:24, 80, 37, 47
00:00:25, 69, 38, 53
00:00:26, 69, 35, 53
00:00:27, 69, 20, 70
00:00:28, 50, 38, 75
00:00:29, 56, 37, 66
00:00:30, 57, 27, 56
00:00:31, 57, 40, 50
00:00:32, 69, 30, 43
00:00:33, 78, 26, 56
00:00:34, 66, 26, 66
00:00:35, 64, 26, 80
00:00:36, 57, 17, 80
00:00:37, 54, 16, 70
00:00:38, 48, 34, 74
00:00:39, 51, 35, 53
00:00:40, 51, 50, 54
00:00:41, 48, 47, 54
00:00:42, 63, 53, 38
00:00:43, 56, 34, 30
00:00:44, 66, 27, 30
00:00:45, 56, 41, 37
00:00:46, 66, 43, 47
00:00:47, 57, 50, 67
00:00:48, 56, 57, 77
00:00:49, 61, 51, 78
00:00:50, 56, 44, 83
00:00:51, 75, 40, 91
00:00:52, 66, 41, 91
00:00:53, 75, 34, 97
00:00:54, 63, 29, 100
00:00:55, 56, 40, 100
00:00:56, 63, 27, 94
00:00:57, 54, 30, 81
00:00:58, 51, 30, 74
00:00:59, 48, 34, 70
00:01:00, 44, 26, 69
00:01:01, 47, 23, 60
00:01:02, 53, 21, 40
00:01:03, 67, 23, 20
00:01:04, 64, 37, 4
00:01:05, 61, 40, 11
00:01:06, 63, 50, 7
00:01:07, 56, 51, 23
00:01:08, 60, 51, 38
00:01:09, 75, 61, 41
00:01:10, 81, 51, 54
00:01:11, 81, 50, 53
00:01:12, 75, 56, 61
00:01:13, 74, 47, 53
00:01:14, 64, 37, 50
00:01:15, 67, 35, 51
00:01:16, 70, 27, 54
