Time,john,thomas,vaidy
00:00:00, 70, 54, 56
00:00:01, 78, 38, 51
00:00:02, 74, 24, 67
00:00:03, 69, 20, 78
00:00:04, 66, 26, 77
00:00:05, 53, 41, 64
00:00:06, 63, 64, 61
00:00:07, 61, 75, 30
00:00:08, 64, 74, 29
00:00:09, 66, 47, 37
00:00:10, 53, 41, 10
00:00:11, 56, 47, 8
00:00:12, 56, 47, 26
00:00:13, 57, 47, 38
00:00:14, 66, 50, 38
00:00:15, 48, 69, 44
00:00:16, 43, 60, 20
00:00:17, 54, 37, 17
00:00:18, 56, 40, 41
00:00:19, 80, 40, 34
00:00:20, 75, 43, 38
00:00:21, 77, 47, 47
00:00:22, 81, 44, 50
00:00:23, 80, 47, 67
00:00:24, 83, 35, 84
00:00:25, 88, 27, 83
00:00:26, 88, 23, 81
00:00:27, 88, 27, 78
00:00:28, 87, 48, 80
00:00:29, 90, 66, 69
00:00:30, 93, 51, 60
00:00:31, 91, 56, 66
00:00:32, 97, 41, 63
00:00:33, 88, 38, 70
00:00:34, 93, 41, 69
00:00:35, 100, 37, 60
00:00:36, 100, 24, 61
00:00:37, 100, 29, 56
00:00:38, 97, 47, 57
00:00:39, 93, 44, 54
00:00:40, 91, 54, 43
00:00:41, 94, 41, 48
00:00:42, 100, 41, 47
00:00:43, 100, 29, 48
00:00:44, 96, 44, 47
00:00:45, 88, 48, 48
00:00:46, 75, 53, 67
00:00:47, 80, 57, 77
00:00:48, 81, 44, 75
00:00:49, 70, 40, 63
00:00:50, 80, 30, 53
00:00:51, 67, 26, 54
00:00:52, 66, 38, 60
00:00:53, 81, 35, 69
00:00:54, 90, 30, 66
00:00:55, 97, 35, 77
00:00:56, 100, 35, 78
00:00:57, 94, 43, 56
00:00:58, 84, 47, 64
00:00:59, 87, 53, 56
00:01:00, 87, 50, 53
00:01:01, 100, 51, 56
00:01:02, 97, 44, 41
00:01:03, 78, 41, 24
00:01:04, 88, 44, 29
00:01:05, 80, 48, 29
00:01:06, 83, 64, 26
00:01:07, 100, 56, 26
00:01:08, 100, 57, 23
00:01:09, 90, 56, 38
00:01:10, 74, 56, 44
00:01:11, 67, 61, 70
00:01:12, 54, 66, 75
00:01:13, 54, 70, 75
00:01:14, 78, 60, 70
00:01:15, 78, 54, 80
00:01:16, 83, 63, 69
00:01:17, 93, 53, 51
00:01:18, 84, 44, 56
00:01:19, 90, 44, 40
00:01:20, 83, 27, 30
00:01:21, 74, 37, 43
00:01:22, 80, 43, 37
00:01:23, 63, 47, 41
00:01:24, 70, 44, 37
00:01:25, 70, 41, 41
00:01:26, 64, 47, 57
00:01:27, 80, 50, 44
00:01:28, 75, 51, 51
00:01:29, 77, 57, 51
00:01:30, 64, 51, 40
00:01:31, 54, 43, 44
00:01:32, 57, 43, 56
00:01:33, 57, 37, 50
00:01:34, 70, 37, 54
00:01:35, 83, 41, 63
00:01:36, 80, 50, 57
00:01:37, 83, 61, 78
00:01:38, 74, 53, 70
00:01:39, 70, 69, 66
00:01:40, 74, 61, 70
00:01:41, 88, 53, 57
00:01:42, 91, 56, 56
00:01:43, 93, 37, 50
00:01:44, 94, 50, 48
00:01:45, 78, 60, 53
00:01:46, 97, 51, 57
00:01:47, 96, 57, 64
00:01:48, 94, 48, 57
00:01:49, 96, 35, 53
00:01:50, 78, 60, 57
00:01:51, 75, 66, 66
00:01:52, 70, 66, 70
00:01:53, 67, 77, 60
00:01:54, 69, 67, 63
00:01:55, 69, 56, 61
00:01:56, 64, 53, 67
00:01:57, 77, 50, 88
00:01:58, 78, 53, 83
00:01:59, 74, 51, 91
00:02:00, 91, 54, 74
00:02:01, 88, 43, 70
00:02:02, 74, 47, 70
00:02:03, 67, 41, 64
00:02:04, 48, 48, 70
00:02:05, 53, 51, 69
00:02:06, 70, 44, 60
00:02:07, 78, 60, 56
00:02:08, 90, 50, 48
00:02:09, 83, 61, 27
00:02:10, 77, 54, 27
00:02:11, 81, 56, 23
00:02:12, 88, 66, 37
00:02:13, 90, 61, 51
00:02:14, 100, 64, 61
00:02:15, 100, 56, 54
00:02:16, 94, 41, 44
00:02:17, 93, 40, 50
00:02:18, 81, 48, 44
00:02:19, 75, 44, 54
00:02:20, 77, 43, 78
00:02:21, 87, 47, 77
00:02:22, 78, 51, 87
00:02:23, 83, 56, 90
00:02:24, 78, 56, 80
00:02:25, 63, 66, 84
00:02:26, 77, 66, 74
00:02:27, 75, 61, 88
00:02:28, 78, 69, 77
00:02:29, 77, 66, 78
00:02:30, 67, 63, 81
00:02:31, 63, 47, 63
00:02:32, 67, 48, 64
00:02:33, 80, 60, 48
00:02:34, 90, 54, 47
00:02:35, 81, 64, 43
00:02:36, 81, 64, 50
00:02:37, 70, 67, 61
00:02:38, 64, 61, 60
00:02:39, 77, 63, 47
00:02:40, 70, 56, 43
00:02:41, 75, 47, 53
00:02:42, 81, 57, 51
00:02:43, 90, 61, 70
00:02:44, 91, 53, 61
00:02:45, 96, 40, 40
00:02:46, 91, 30, 44
00:02:47, 78, 26, 53
00:02:48, 67, 24, 69
00:02:49, 69, 37, 91
00:02:50, 75, 38, 96
00:02:51, 80, 37, 91
00:02:52, 87, 38, 91
00:02:53, 77, 37, 81
00:02:54, 54, 44, 63
00:02:55, 43, 47, 75
00:02:56, 50, 61, 63
00:02:57, 47, 63, 67
00:02:58, 70, 60, 66
00:02:59, 78, 75, 30
00:03:00, 78, 67, 27
00:03:01, 88, 69, 24
00:03:02, 93, 66, 37
00:03:03, 96, 51, 50
00:03:04, 100, 54, 61
00:03:05, 100, 48, 61
00:03:06, 100, 47, 64
00:03:06, 100, 56, 81
00:03:08, 100, 43, 84
00:03:09, 88, 63, 90
00:03:09, 77, 69, 91
00:03:10, 88, 56, 70
00:03:11, 77, 64, 78
00:03:12, 91, 61, 64
00:03:13, 96, 53, 64
00:03:14, 87, 64, 77
00:03:15, 88, 67, 61
00:03:16, 81, 54, 67
00:03:17, 67, 48, 61
00:03:18, 70, 27, 70
00:03:19, 80, 26, 64
00:03:20, 75, 20, 53
00:03:21, 69, 27, 64
00:03:22, 66, 37, 47
00:03:23, 56, 37, 57
00:03:24, 57, 35, 74
00:03:25, 53, 40, 75
00:03:26, 48, 40, 81
00:03:27, 34, 37, 87
00:03:28, 38, 43, 78
00:03:29, 53, 38, 66
00:03:30, 54, 50, 67
00:03:31, 69, 44, 53
00:03:32, 69, 47, 60
00:03:33, 69, 50, 64
00:03:34, 56, 27, 66
00:03:35, 61, 26, 80
00:03:36, 48, 21, 74
00:03:37, 48, 16, 75
00:03:38, 48, 27, 80
00:03:39, 50, 27, 83
00:03:40, 43, 29, 87
00:03:41, 47, 34, 81
00:03:42, 53, 27, 54
00:03:43, 51, 48, 37
00:03:44, 60, 48, 37
00:03:45, 63, 60, 40
00:03:46, 50, 64, 63
00:03:47, 61, 63, 74
00:03:48, 60, 63, 77
00:03:49, 61, 60, 69
00:03:50, 67, 51, 61
00:03:51, 57, 48, 51
00:03:52, 54, 53, 48
00:03:53, 56, 50, 48
00:03:54, 63, 53, 56
00:03:55, 67, 43, 66
00:03:56, 67, 35, 64
00:03:57, 63, 41, 63
00:03:58, 66, 37, 50
00:03:59, 57, 38, 54
00:04:00, 57, 50, 48
00:04:01, 54, 27, 48
00:04:02, 48, 38, 54
00:04:03, 54, 37, 30
00:04:04, 56, 38, 38
00:04:05, 78, 44, 41
00:04:06, 80, 38, 23
00:04:07, 84, 44, 37
00:04:08, 94, 30, 41
00:04:09, 94, 29, 20
00:04:10, 84, 30, 29
00:04:11, 84, 38, 20
00:04:12, 64, 56, 14
00:04:13, 53, 56, 37
00:04:14, 50, 56, 26
00:04:15, 50, 56, 47
00:04:16, 50, 44, 51
00:04:17, 57, 51, 50
00:04:18, 63, 69, 63
00:04:19, 61, 69, 48
00:04:20, 70, 61, 53
00:04:21, 70, 64, 44
00:04:22, 67, 41, 53
00:04:23, 57, 38, 64
00:04:24, 57, 53, 56
00:04:25, 56, 56, 63
00:04:26, 54, 70, 56
00:04:27, 57, 61, 53
00:04:28, 61, 51, 54
00:04:29, 69, 53, 64
00:04:30, 77, 48, 80
00:04:31, 66, 41, 93
00:04:32, 44, 38, 97
00:04:33, 38, 27, 100
00:04:34, 30, 34, 96
00:04:35, 37, 40, 83
00:04:36, 54, 41, 83
00:04:37, 51, 56, 69
00:04:38, 47, 57, 60
00:04:39, 53, 53, 61
00:04:40, 60, 74, 50
00:04:41, 61, 61, 53
00:04:42, 57, 50, 53
00:04:43, 67, 57, 56
00:04:44, 57, 51, 61
00:04:45, 47, 38, 67
00:04:46, 53, 43, 56
00:04:47, 53, 41, 51
00:04:48, 53, 30, 48
00:04:49, 69, 48, 41
00:04:50, 67, 56, 54
00:04:51, 57, 43, 53
00:04:52, 69, 44, 70
00:04:53, 53, 44, 63
00:04:54, 60, 41, 69
00:04:55, 63, 57, 70
00:04:56, 53, 61, 57
00:04:57, 70, 61, 61
00:04:58, 61, 54, 40
00:04:59, 66, 54, 37
00:05:00, 78, 43, 27
00:05:01, 83, 44, 27
00:05:02, 94, 48, 50
00:05:03, 100, 47, 54
00:05:04, 97, 56, 64
00:05:05, 81, 53, 74
00:05:06, 74, 47, 70
00:05:07, 70, 43, 64
00:05:08, 64, 27, 50
00:05:09, 67, 24, 54
00:05:10, 69, 37, 51
00:05:11, 56, 34, 56
00:05:12, 51, 37, 56
00:05:13, 57, 43, 34
00:05:14, 56, 44, 26
00:05:15, 50, 50, 17
00:05:16, 53, 47, 38
00:05:17, 40, 48, 48
00:05:18, 50, 57, 63
00:05:19, 66, 53, 78
00:05:20, 75, 63, 78
00:05:21, 78, 50, 81
00:05:22, 74, 37, 77
00:05:23, 75, 40, 60
00:05:24, 80, 51, 54
00:05:25, 78, 61, 53
00:05:26, 83, 48, 50
00:05:27, 88, 54, 69
00:05:28, 80, 41, 64
00:05:29, 93, 26, 64
00:05:30, 87, 43, 75
00:05:31, 87, 50, 74
00:05:32, 80, 47, 74
00:05:33, 84, 43, 74
00:05:34, 83, 34, 63
00:05:35, 75, 27, 64
00:05:36, 63, 21, 81
00:05:37, 64, 23, 77
00:05:38, 78, 23, 78
00:05:39, 61, 21, 74
00:05:40, 80, 43, 66
00:05:41, 80, 61, 75
00:05:42, 77, 69, 84
00:05:43, 100, 63, 81
