Time, PoorSignal, Attention, Meditation
16:21:05, 0, 70, 56
16:21:06, 0, 64, 51
16:21:08, 0, 66, 67
16:21:09, 0, 57, 78
16:21:11, 0, 57, 77
16:21:12, 0, 48, 64
16:21:14, 0, 44, 61
16:21:15, 0, 24, 30
16:21:17, 0, 7, 29
16:21:18, 0, 1, 37
16:21:20, 0, 1, 10
16:21:21, 0, 13, 8
16:21:23, 0, 13, 26
16:21:24, 0, 23, 38
16:21:26, 0, 4, 38
16:21:27, 0, 10, 44
16:21:29, 0, 4, 20
16:21:30, 0, 17, 17
16:21:32, 0, 53, 41
16:21:33, 0, 47, 34
16:21:34, 0, 74, 38
16:21:36, 0, 63, 47
16:21:37, 0, 57, 50
16:21:39, 0, 53, 67
16:21:40, 0, 47, 84
16:21:42, 0, 53, 83
16:21:43, 0, 53, 81
16:21:45, 0, 70, 78
16:21:46, 0, 75, 80
16:21:48, 0, 66, 69
16:21:49, 0, 56, 60
16:21:51, 0, 50, 66
16:21:52, 0, 43, 63
16:21:54, 0, 56, 70
16:21:55, 0, 66, 69
16:21:57, 0, 80, 60
16:21:58, 0, 80, 61
16:22:00, 0, 70, 56
16:22:01, 0, 74, 57
16:22:03, 0, 53, 54
16:22:04, 0, 54, 43
16:22:06, 0, 54, 48
16:22:07, 0, 38, 47
16:22:09, 0, 30, 48
16:22:10, 0, 30, 47
16:22:12, 0, 37, 48
16:22:13, 0, 47, 67
16:22:15, 0, 67, 77
16:22:16, 0, 77, 75
16:22:18, 0, 78, 63
16:22:19, 0, 83, 53
16:22:21, 0, 91, 54
16:22:22, 0, 91, 60
16:22:24, 0, 97, 69
16:22:25, 0, 100, 66
16:22:27, 0, 100, 77
16:22:28, 0, 94, 78
16:22:30, 0, 81, 56
16:22:31, 0, 74, 64
16:22:33, 0, 70, 56
16:22:34, 0, 69, 53
16:22:36, 0, 60, 56
16:22:37, 0, 40, 41
16:22:39, 0, 20, 24
16:22:40, 0, 4, 29
16:22:42, 0, 11, 29
16:22:43, 0, 7, 26
16:22:45, 0, 23, 26
16:22:46, 0, 38, 23
16:22:48, 0, 41, 38
16:22:49, 0, 54, 44
16:22:51, 0, 53, 70
16:22:52, 0, 61, 75
16:22:54, 0, 53, 75
16:22:55, 0, 50, 70
16:22:57, 0, 51, 80
16:22:58, 0, 54, 69
16:23:00, 0, 47, 51
16:23:01, 0, 41, 56
16:23:03, 0, 40, 40
16:23:04, 0, 34, 30
16:23:06, 0, 44, 43
16:23:07, 0, 44, 37
16:23:09, 0, 51, 41
16:23:10, 0, 48, 37
16:23:12, 0, 57, 41
16:23:13, 0, 64, 57
16:23:15, 0, 66, 44
16:23:16, 0, 70, 51
16:23:18, 0, 66, 51
16:23:19, 0, 66, 40
16:23:21, 0, 51, 44
16:23:22, 0, 48, 56
16:23:24, 0, 38, 50
16:23:25, 0, 38, 54
16:23:27, 0, 51, 63
16:23:28, 0, 61, 57
16:23:30, 0, 77, 78
16:23:31, 0, 57, 70
16:23:32, 0, 53, 66
16:23:34, 0, 51, 70
16:23:35, 0, 47, 57
16:23:37, 0, 66, 56
16:23:38, 0, 75, 50
16:23:40, 0, 63, 48
16:23:41, 0, 67, 53
16:23:43, 0, 64, 57
16:23:44, 0, 67, 64
16:23:46, 0, 78, 57
16:23:47, 0, 77, 53
16:23:49, 0, 88, 57
16:23:50, 0, 81, 66
16:23:52, 0, 66, 70
16:23:53, 0, 61, 60
16:23:55, 0, 50, 63
16:23:56, 0, 44, 61
16:23:58, 0, 43, 67
16:23:59, 0, 48, 88
16:24:01, 0, 50, 83
16:24:02, 0, 54, 91
16:24:04, 0, 81, 74
16:24:05, 0, 84, 70
16:24:07, 0, 90, 70
16:24:08, 0, 83, 64
16:24:10, 0, 69, 70
16:24:11, 0, 63, 69
16:24:13, 0, 43, 60
16:24:14, 0, 41, 56
16:24:16, 0, 26, 48
16:24:17, 0, 29, 27
16:24:19, 0, 53, 27
16:24:20, 0, 74, 23
16:24:22, 0, 93, 37
16:24:23, 0, 97, 51
16:24:25, 0, 81, 61
16:24:26, 0, 61, 54
16:24:28, 0, 66, 44
16:24:29, 0, 64, 50
16:24:31, 0, 77, 44
16:24:32, 0, 87, 54
16:24:34, 0, 78, 78
16:24:35, 0, 84, 77
16:24:37, 0, 75, 87
16:24:38, 0, 78, 90
16:24:40, 0, 78, 80
16:24:41, 0, 74, 84
16:24:43, 0, 77, 74
16:24:44, 0, 64, 88
16:24:46, 0, 57, 77
16:24:47, 0, 66, 78
16:24:49, 0, 69, 81
16:24:50, 0, 84, 63
16:24:52, 0, 100, 64
16:24:53, 0, 96, 48
