Time, PoorSignal, Attention, Meditation
13:23:35, 0, 50, 70
13:23:36, 0, 50, 78
13:23:37, 0, 56, 74
13:23:38, 0, 51, 69
13:23:39, 0, 54, 66
13:23:40, 0, 56, 53
13:23:41, 0, 47, 63
13:23:42, 0, 57, 61
13:23:43, 0, 61, 64
13:23:44, 0, 64, 66
13:23:45, 0, 60, 53
13:23:46, 0, 63, 56
13:23:47, 0, 66, 56
13:23:48, 0, 70, 57
13:23:49, 0, 77, 66
13:23:50, 0, 67, 48
13:23:51, 0, 63, 43
13:23:52, 0, 54, 54
13:23:53, 0, 51, 56
13:23:54, 0, 56, 80
13:23:55, 0, 60, 75
13:23:56, 0, 66, 77
13:23:57, 0, 75, 81
13:23:58, 0, 70, 80
13:23:59, 0, 80, 83
13:24:00, 0, 69, 88
13:24:01, 0, 69, 88
13:24:02, 0, 69, 88
13:24:03, 0, 50, 87
13:24:04, 0, 56, 90
13:24:05, 0, 57, 93
13:24:06, 0, 57, 91
13:24:07, 0, 69, 97
13:24:08, 0, 78, 88
13:24:09, 0, 66, 93
13:24:10, 0, 64, 100
13:24:11, 0, 57, 100
13:24:12, 0, 54, 100
13:24:13, 0, 48, 97
13:24:14, 0, 51, 93
13:24:15, 0, 51, 91
13:24:16, 0, 48, 94
13:24:17, 0, 63, 100
13:24:18, 0, 56, 100
13:24:19, 0, 66, 96
13:24:20, 0, 56, 88
13:24:21, 0, 66, 75
13:24:22, 0, 57, 80
13:24:23, 0, 56, 81
13:24:24, 0, 61, 70
13:24:25, 0, 56, 80
13:24:26, 0, 75, 67
13:24:27, 0, 66, 66
13:24:28, 0, 75, 81
13:24:29, 0, 63, 90
13:24:30, 0, 56, 97
13:24:31, 0, 63, 100
13:24:32, 0, 54, 94
13:24:33, 0, 51, 84
13:24:34, 0, 48, 87
13:24:35, 0, 44, 87
13:24:36, 0, 47, 100
13:24:37, 0, 53, 97
13:24:38, 0, 67, 78
13:24:39, 0, 64, 88
13:24:40, 0, 61, 80
13:24:41, 0, 63, 83
13:24:42, 0, 56, 100
13:24:43, 0, 60, 100
13:24:44, 0, 75, 90
13:24:45, 0, 81, 74
13:24:46, 0, 81, 67
13:24:47, 0, 75, 54
13:24:48, 0, 74, 54
13:24:49, 0, 64, 78
13:24:50, 0, 67, 78
13:24:51, 0, 70, 83
13:24:52, 0, 66, 93
13:24:53, 0, 78, 84
13:24:54, 0, 78, 90
13:24:55, 0, 81, 83
13:24:56, 0, 78, 74
13:24:57, 0, 78, 80
13:24:58, 0, 78, 63
13:24:59, 0, 84, 70
13:25:00, 0, 84, 70
13:25:01, 0, 81, 64
13:25:02, 0, 80, 80
13:25:03, 0, 78, 75
13:25:04, 0, 83, 77
13:25:05, 0, 77, 64
13:25:06, 0, 75, 54
13:25:07, 0, 63, 57
13:25:08, 0, 57, 57
13:25:09, 0, 57, 70
13:25:10, 0, 61, 83
13:25:11, 0, 75, 80
13:25:12, 0, 77, 83
13:25:13, 0, 75, 74
13:25:14, 0, 61, 70
13:25:15, 0, 57, 74
13:25:16, 0, 54, 88
13:25:17, 0, 63, 91
13:25:18, 0, 66, 93
13:25:19, 0, 64, 94
13:25:20, 0, 78, 78
13:25:21, 0, 66, 97
13:25:22, 0, 64, 96
13:25:23, 0, 60, 94
13:25:24, 0, 51, 96
13:25:25, 0, 57, 78
13:25:26, 0, 57, 75
13:25:27, 0, 64, 70
13:25:28, 0, 63, 67
13:25:29, 0, 53, 69
13:25:30, 0, 50, 69
13:25:31, 0, 61, 64
13:25:32, 0, 61, 77
13:25:33, 0, 56, 78
13:25:34, 0, 61, 74
13:25:35, 0, 35, 91
13:25:36, 0, 29, 88
13:25:37, 0, 21, 74
13:25:38, 0, 3, 67
13:25:39, 0, 11, 48
13:25:40, 0, 8, 53
13:25:41, 0, 24, 70
13:25:42, 0, 41, 78
13:25:43, 0, 30, 90
13:25:44, 0, 26, 83
13:25:45, 0, 24, 77
13:25:46, 0, 21, 81
13:25:47, 0, 24, 88
13:25:48, 0, 29, 90
13:25:49, 0, 24, 100
13:25:50, 0, 23, 100
13:25:51, 0, 38, 94
13:25:52, 0, 43, 93
13:25:53, 0, 51, 81
13:25:54, 0, 54, 75
13:25:55, 0, 54, 77
13:25:56, 0, 54, 87
13:25:57, 0, 63, 78
13:25:58, 0, 56, 83
13:25:59, 0, 54, 78
13:26:00, 0, 67, 63
13:26:01, 0, 60, 77
13:26:02, 0, 74, 75
13:26:03, 0, 80, 78
13:26:04, 0, 70, 77
13:26:05, 0, 83, 67
13:26:06, 0, 69, 63
13:26:07, 0, 64, 67
13:26:08, 0, 61, 80
13:26:09, 0, 54, 90
13:26:10, 0, 60, 81
13:26:11, 0, 51, 81
13:26:12, 0, 53, 70
13:26:13, 0, 61, 64
13:26:14, 0, 69, 77
13:26:15, 0, 77, 70
13:26:16, 0, 69, 75
13:26:17, 0, 60, 81
13:26:18, 0, 60, 90
13:26:19, 0, 63, 91
13:26:20, 0, 64, 96
13:26:21, 0, 77, 91
13:26:22, 0, 69, 78
13:26:23, 0, 78, 67
13:26:24, 0, 75, 69
13:26:25, 0, 66, 75
13:26:26, 0, 56, 80
13:26:27, 0, 38, 87
13:26:28, 0, 37, 77
13:26:29, 0, 26, 54
13:26:30, 0, 30, 43
13:26:31, 0, 43, 50
13:26:32, 0, 54, 47
13:26:33, 0, 66, 70
13:26:34, 0, 57, 78
13:26:35, 0, 44, 78
13:26:36, 0, 30, 88
13:26:37, 0, 26, 93
13:26:38, 0, 37, 96
13:26:39, 0, 30, 100
13:26:40, 0, 30, 100
13:26:41, 0, 26, 100
13:26:41, 0, 35, 100
13:26:43, 0, 40, 100
13:26:44, 0, 43, 88
13:26:44, 0, 57, 77
13:26:45, 0, 50, 88
13:26:46, 0, 51, 77
13:26:47, 0, 56, 91
13:26:48, 0, 53, 96
13:26:49, 0, 60, 87
13:26:50, 0, 56, 88
13:26:51, 0, 51, 81
13:26:52, 0, 48, 67
13:26:53, 0, 38, 70
13:26:54, 0, 41, 80
13:26:55, 0, 57, 75
13:26:56, 0, 61, 69
13:26:57, 0, 60, 66
13:26:58, 0, 66, 56
13:26:59, 0, 41, 57
13:27:00, 0, 24, 53
13:27:01, 0, 20, 48
13:27:02, 0, 1, 34
13:27:03, 0, 11, 38
13:27:04, 0, 27, 53
13:27:05, 0, 27, 54
13:27:06, 0, 47, 69
