Time, PoorSignal, Attention, Meditation
16:26:51, 0, 37, 54
16:26:52, 0, 34, 38
16:26:52, 0, 30, 24
16:26:53, 0, 16, 20
16:26:54, 0, 37, 26
16:26:54, 0, 30, 41
16:26:55, 0, 48, 64
16:26:55, 0, 48, 75
16:26:56, 0, 51, 74
16:26:57, 0, 53, 47
16:26:58, 0, 43, 41
16:26:58, 0, 37, 47
16:26:59, 26, 37, 47
16:27:00, 26, 37, 47
16:27:00, 0, 26, 50
16:27:01, 0, 30, 69
16:27:02, 0, 41, 60
16:27:03, 0, 48, 37
16:27:03, 0, 43, 40
16:27:04, 0, 44, 40
16:27:05, 0, 23, 43
16:27:06, 0, 27, 47
16:27:06, 0, 30, 44
16:27:07, 0, 35, 47
16:27:08, 0, 37, 35
16:27:09, 0, 38, 27
16:27:09, 0, 35, 23
16:27:10, 0, 20, 27
16:27:11, 0, 38, 48
16:27:12, 0, 37, 66
16:27:13, 0, 27, 51
16:27:14, 0, 40, 56
16:27:15, 0, 30, 41
16:27:15, 0, 26, 38
16:27:16, 0, 26, 41
16:27:17, 0, 26, 37
16:27:18, 0, 17, 24
16:27:19, 0, 16, 29
16:27:20, 0, 34, 47
16:27:21, 0, 35, 44
16:27:22, 0, 50, 54
16:27:22, 0, 47, 41
16:27:23, 0, 53, 41
16:27:24, 0, 34, 29
16:27:25, 0, 27, 44
16:27:26, 0, 41, 48
16:27:27, 0, 43, 53
16:27:28, 0, 50, 57
16:27:29, 0, 57, 44
16:27:30, 0, 51, 40
16:27:31, 0, 44, 30
16:27:32, 0, 40, 26
16:27:33, 0, 41, 38
16:27:34, 0, 34, 35
16:27:35, 0, 29, 30
16:27:36, 0, 40, 35
16:27:37, 0, 27, 35
16:27:38, 0, 30, 43
16:27:40, 0, 30, 47
16:27:41, 0, 34, 53
16:27:42, 0, 26, 50
16:27:43, 0, 23, 51
16:27:44, 0, 21, 44
16:27:45, 0, 23, 41
16:27:46, 0, 37, 44
16:27:47, 0, 40, 48
16:27:49, 0, 50, 64
16:27:50, 0, 51, 56
16:27:51, 0, 51, 57
16:27:52, 0, 61, 56
16:27:53, 0, 51, 56
16:27:55, 0, 50, 61
16:27:56, 0, 56, 66
16:27:57, 0, 47, 70
16:27:58, 0, 37, 60
16:28:00, 0, 35, 54
16:28:01, 0, 27, 63
16:28:02, 0, 23, 53
16:28:04, 0, 20, 44
16:28:05, 0, 13, 44
16:28:06, 0, 26, 27
16:28:08, 0, 38, 37
16:28:09, 0, 38, 43
16:28:10, 0, 43, 47
16:28:12, 0, 11, 44
16:28:13, 0, 14, 41
16:28:15, 0, 38, 47
16:28:16, 0, 38, 50
16:28:17, 0, 56, 51
16:28:19, 0, 47, 57
16:28:20, 0, 35, 51
16:28:21, 0, 34, 43
16:28:22, 0, 37, 43
16:28:23, 0, 41, 37
16:28:25, 0, 34, 37
16:28:26, 0, 40, 41
16:28:27, 0, 30, 50
16:28:28, 0, 23, 61
16:28:30, 0, 34, 53
16:28:31, 0, 35, 69
16:28:32, 0, 30, 61
16:28:33, 0, 27, 53
16:28:34, 0, 30, 56
16:28:35, 0, 23, 37
16:28:36, 0, 40, 50
16:28:37, 0, 60, 60
16:28:39, 0, 50, 51
16:28:40, 0, 56, 57
16:28:41, 0, 47, 48
16:28:42, 0, 29, 35
16:28:43, 0, 34, 60
16:28:44, 0, 21, 66
16:28:45, 0, 26, 66
16:28:46, 0, 34, 77
16:28:47, 0, 41, 67
16:28:48, 0, 53, 56
16:28:49, 0, 56, 53
16:28:50, 0, 53, 50
16:28:51, 0, 48, 53
16:28:52, 0, 61, 51
16:28:53, 0, 43, 54
16:28:54, 0, 40, 43
16:28:54, 0, 35, 47
16:28:55, 0, 20, 41
16:28:56, 0, 43, 48
16:28:57, 0, 53, 51
16:28:58, 0, 60, 44
16:28:59, 0, 60, 60
16:29:00, 0, 38, 50
16:29:01, 0, 30, 61
16:29:01, 0, 24, 54
16:29:02, 0, 27, 56
16:29:03, 0, 50, 66
16:29:04, 0, 63, 61
16:29:05, 0, 57, 64
16:29:06, 0, 56, 56
16:29:06, 0, 41, 41
16:29:07, 0, 30, 40
16:29:08, 0, 44, 48
16:29:09, 0, 37, 44
16:29:09, 0, 54, 43
16:29:10, 0, 50, 47
16:29:11, 0, 51, 51
16:29:12, 0, 64, 56
16:29:12, 26, 64, 56
16:29:13, 0, 56, 66
16:29:14, 0, 53, 66
16:29:15, 0, 47, 61
16:29:15, 0, 38, 69
16:29:16, 0, 27, 66
16:29:17, 0, 44, 63
16:29:18, 0, 47, 47
16:29:19, 0, 51, 48
16:29:19, 0, 60, 60
16:29:20, 0, 41, 54
16:29:21, 0, 40, 64
16:29:22, 0, 41, 64
16:29:23, 0, 40, 67
16:29:23, 0, 48, 61
16:29:24, 0, 47, 63
16:29:25, 0, 44, 56
16:29:26, 0, 43, 47
16:29:27, 0, 40, 57
16:29:28, 0, 35, 61
16:29:29, 0, 35, 53
16:29:30, 0, 29, 40
16:29:30, 0, 37, 30
16:29:31, 0, 47, 26
16:29:32, 0, 47, 24
16:29:33, 0, 50, 37
16:29:34, 0, 48, 38
16:29:35, 0, 41, 37
16:29:36, 0, 43, 38
16:29:37, 0, 61, 37
16:29:38, 0, 64, 44
16:29:39, 0, 78, 47
16:29:40, 0, 87, 61
16:29:41, 0, 63, 63
16:29:42, 0, 63, 60
16:29:43, 0, 54, 75
16:29:44, 0, 43, 67
16:29:45, 0, 43, 69
16:29:46, 0, 35, 66
16:29:47, 0, 43, 51
16:29:48, 0, 47, 54
16:29:49, 0, 61, 48
16:29:51, 0, 63, 47
16:29:52, 0, 56, 56
16:29:53, 0, 61, 43
16:29:54, 0, 40, 63
16:29:55, 0, 41, 69
16:29:56, 0, 27, 56
16:29:57, 0, 16, 64
16:29:59, 0, 35, 61
16:30:00, 0, 21, 53
16:30:01, 0, 30, 64
16:30:02, 0, 37, 67
16:30:03, 0, 38, 54
16:30:04, 0, 34, 48
16:30:06, 0, 27, 27
16:30:07, 0, 29, 26
16:30:08, 0, 29, 20
16:30:10, 0, 48, 27
16:30:11, 0, 48, 37
16:30:12, 0, 48, 37
16:30:13, 0, 38, 35
16:30:15, 0, 30, 40
16:30:16, 0, 37, 40
16:30:17, 0, 30, 37
16:30:19, 0, 38, 43
16:30:20, 0, 34, 38
16:30:21, 0, 37, 50
16:30:22, 0, 37, 44
16:30:23, 0, 35, 47
16:30:24, 0, 40, 50
16:30:26, 0, 23, 27
16:30:27, 0, 34, 26
16:30:28, 0, 30, 21
16:30:29, 0, 29, 16
16:30:30, 0, 44, 27
16:30:31, 0, 29, 27
16:30:32, 0, 29, 29
16:30:33, 0, 30, 34
16:30:34, 0, 26, 27
16:30:35, 0, 43, 48
16:30:36, 0, 38, 48
16:30:38, 0, 48, 60
16:30:39, 0, 51, 64
16:30:40, 0, 47, 63
16:30:41, 0, 44, 63
16:30:42, 0, 35, 60
16:30:43, 0, 26, 51
16:30:43, 0, 29, 48
16:30:44, 0, 30, 53
16:30:45, 0, 37, 50
16:30:46, 0, 40, 53
16:30:47, 0, 34, 43
16:30:48, 0, 34, 35
16:30:49, 0, 27, 41
16:30:50, 0, 24, 37
16:30:51, 0, 29, 38
16:30:52, 0, 30, 50
16:30:53, 0, 17, 27
16:30:53, 0, 20, 38
16:30:54, 0, 4, 37
16:30:55, 0, 13, 38
16:30:56, 0, 37, 44
16:30:57, 0, 29, 38
16:30:58, 0, 41, 44
16:30:59, 0, 37, 30
16:30:59, 0, 27, 29
16:31:00, 0, 40, 30
16:31:01, 0, 56, 38
16:31:02, 0, 54, 56
16:31:02, 0, 60, 56
16:31:03, 0, 57, 56
16:31:04, 0, 53, 56
16:31:05, 0, 50, 44
16:31:05, 0, 47, 51
16:31:06, 0, 43, 69
16:31:07, 0, 34, 69
16:31:08, 0, 35, 61
16:31:09, 0, 24, 64
16:31:10, 0, 23, 41
16:31:10, 0, 30, 38
16:31:11, 0, 48, 53
16:31:12, 0, 61, 56
16:31:13, 0, 78, 70
16:31:14, 0, 70, 61
16:31:15, 0, 64, 51
16:31:16, 0, 56, 53
16:31:17, 0, 41, 48
16:31:17, 0, 35, 41
16:31:18, 0, 20, 38
16:31:19, 0, 37, 27
16:31:20, 0, 35, 34
16:31:21, 0, 48, 40
16:31:22, 0, 54, 41
16:31:23, 0, 29, 56
16:31:24, 0, 40, 57
16:31:25, 0, 35, 53
16:31:26, 0, 29, 74
16:31:27, 0, 37, 61
16:31:28, 0, 16, 50
16:31:29, 0, 16, 57
16:31:30, 0, 20, 51
16:31:31, 0, 24, 38
16:31:32, 0, 35, 43
16:31:33, 0, 20, 41
16:31:34, 0, 14, 30
16:31:35, 0, 16, 48
16:31:36, 0, 14, 56
16:31:38, 0, 26, 43
16:31:39, 0, 47, 44
16:31:40, 0, 51, 44
16:31:41, 0, 56, 41
16:31:42, 0, 54, 57
16:31:43, 0, 50, 61
16:31:44, 0, 44, 61
16:31:45, 0, 56, 54
16:31:47, 0, 51, 54
16:31:48, 0, 44, 43
16:31:49, 0, 41, 44
16:31:50, 0, 38, 48
16:31:52, 0, 43, 47
16:31:53, 0, 35, 56
16:31:54, 0, 40, 53
16:31:55, 0, 34, 47
16:31:57, 0, 43, 43
16:31:58, 0, 48, 27
16:31:59, 0, 41, 24
