timeperiod,productivity bursts,commits,authors
0,#909090,0,0
0,#909090,14,1
5,#909090,22,1
10,#909090,9,1
15,#909090,4,1
20,#909090,19,2
25,#909090,21,1
30,#909090,8,1
35,#909090,27,2
40,#909090,17,1
45,#909090,9,1
50,#909090,12,2
55,#909090,4,1
60,#909090,10,2
65,#909090,7,1
70,#909090,5,0
75,#909090,4,0
80,#909090,1,1
85,#909090,3,1
90,#909090,0,0
95,#909090,12,2
100,#909090,17,2
105,#909090,18,2
110,#909090,18,2
115,#909090,18,2
120,#909090,0,0
125,#909090,10,2
130,#909090,0,0
135,#909090,20,3
140,#909090,4,1
145,#909090,23,3
150,#909090,8,1
155,#909090,11,1
160,#909090,1,1
165,#909090,3,1
170,#909090,9,1
175,#909090,50,3
180,#909090,38,3
185,#909090,32,5
190,#909090,1,1
195,#909090,8,2
200,#909090,18,2
205,#909090,35,3
210,#909090,41,4
215,#909090,0,0
220,#909090,2,1
225,#909090,0,0
230,#909090,3,1
235,#909090,0,0
240,#909090,0,0
245,#909090,0,0
250,#FFFFFF,0,0
255,#FFFFFF,0,0
260,#FFFFFF,0,0
265,#FFFFFF,7,1
270,#FFFFFF,0,0
275,#FFFFFF,0,0
280,#FFFFFF,0,0
285,#FFFFFF,0,0
290,#FFFFFF,0,0
295,#FFFFFF,0,0
300,#FFFFFF,0,0
305,#FFFFFF,0,0
310,#FFFFFF,0,0
315,#FFFFFF,0,0
320,#FFFFFF,0,0
325,#FFFFFF,0,0
330,#FFFFFF,0,0
335,#FFFFFF,0,0
340,#FFFFFF,0,0
345,#FFFFFF,0,0
350,#FFFFFF,0,0
355,#FFFFFF,0,0
360,#FFFFFF,0,0
365,#FFFFFF,0,0
370,#FFFFFF,0,0
375,#FFFFFF,0,0
380,#FFFFFF,0,0
385,#FFFFFF,12,1
390,#FFFFFF,21,1
395,#FFFFFF,3,2
400,#FFFFFF,0,0
405,#FFFFFF,0,0
410,#FFFFFF,8,2
415,#FFFFFF,3,1
420,#FFFFFF,19,2
425,#FFFFFF,10,2
430,#FFFFFF,39,2
435,#FFFFFF,3,2
440,#FFFFFF,1,1
445,#FFFFFF,0,0
450,#FFFFFF,1,1
455,#FFFFFF,0,0
460,#FFFFFF,0,0
465,#FFFFFF,0,0
470,#FFFFFF,0,0
475,#FFFFFF,0,0
480,#FFFFFF,0,0
485,#FFFFFF,0,0
490,#FFFFFF,0,0
495,#FFFFFF,0,0
500,#FFFFFF,0,0
505,#FFFFFF,0,0
510,#FFFFFF,0,0
515,#FFFFFF,0,0
520,#FFFFFF,0,0
525,#FFFFFF,8,1
530,#FFFFFF,35,3
535,#FFFFFF,24,2
540,#FFFFFF,7,2
545,#FFFFFF,3,1
550,#FFFFFF,7,2
555,#FFFFFF,9,2
560,#FFFFFF,8,1
565,#FFFFFF,1,1
570,#FFFFFF,5,1
575,#FFFFFF,20,1
580,#FFFFFF,1,1
585,#FFFFFF,5,1
590,#FFFFFF,2,1
595,#FFFFFF,0,0
600,#FFFFFF,2,1
605,#FFFFFF,12,1
610,#FFFFFF,7,1
615,#FFFFFF,1,1
620,#FFFFFF,12,1
625,#FFFFFF,0,0
630,#FFFFFF,21,1
635,#FFFFFF,10,2
640,#FFFFFF,3,1
645,#FFFFFF,0,0
650,#FFFFFF,0,0
655,#FFFFFF,0,0
660,#FFFFFF,0,0
665,#FFFFFF,1,1
670,#FFFFFF,0,0
675,#FFFFFF,0,0
680,#FFFFFF,26,1
685,#FFFFFF,10,1
690,#FFFFFF,42,1
695,#FFFFFF,43,1
700,#FFFFFF,11,1
705,#FFFFFF,0,0
710,#FFFFFF,12,1
715,#FFFFFF,12,2
720,#FFFFFF,2,1
725,#FFFFFF,0,0
730,#FFFFFF,0,0
735,#FFFFFF,6,2
740,#FFFFFF,0,0
745,#FFFFFF,0,0
750,#909090,0,0
755,#909090,0,0
760,#909090,0,0
765,#909090,0,0
770,#909090,0,0
775,#909090,0,0
780,#909090,0,0
785,#909090,6,1
790,#909090,0,0
795,#909090,26,1
800,#909090,0,0
805,#909090,0,0
810,#909090,3,1
815,#909090,1,1
820,#909090,0,0
825,#909090,0,0
830,#909090,0,0
835,#909090,0,0
840,#909090,0,0
845,#909090,0,0
850,#909090,0,0
855,#909090,0,0
860,#909090,0,0
865,#909090,7,3
870,#909090,0,0
875,#909090,2,1
880,#909090,2,2
885,#909090,0,0
890,#909090,20,3
895,#909090,23,2
900,#909090,18,2
905,#909090,39,3
910,#909090,20,3
915,#909090,55,3
920,#909090,43,3
925,#909090,39,3
930,#909090,55,3
935,#909090,40,3
940,#909090,35,3
945,#909090,10,2
950,#909090,1,1
